rcept_no,rcept_dt,corp_cls,corp_name,stock_code,report_nm,flr_nm
20260820000436,20260820,코스닥,하림지주,003380,주식등의대량보유상황보고서(일반),김홍국
20260820000435,20260820,코스피,팜스코,036580,주식등의대량보유상황보고서(일반),하림지주
20260820000433,20260820,코스닥,광진실업,026910,주식등의대량보유상황보고서(일반),디엔티인터네셔널
20260820000431,20260820,코스피,팬오션,028670,주식등의대량보유상황보고서(일반),하림지주
20260820000423,20260820,코스닥,웨이브일렉트로,095270,주식등의대량보유상황보고서(일반),박천석
20260820000421,20260820,코스닥,에스제이그룹,306040,주식등의대량보유상황보고서(일반),이주영
20260820000409,20260820,코스닥,비스토스,419540,주식등의대량보유상황보고서(일반),씨유메디칼
20260820000400,20260820,코스닥,로젠,033290,주식등의대량보유상황보고서(일반),대명화학
20260820000399,20260820,코스닥,경남제약,053950,주식등의대량보유상황보고서(일반),미니쉬테크놀로지
20260820000389,20260820,코스닥,츌립앤사이언스,291650,주식등의대량보유상황보고서(약식),에이치엔제이인베스트먼트
20260820000386,20260820,코스닥,츌립앤사이언스,291650,주식등의대량보유상황보고서(약식),Wellnew&Co.
20260820000382,20260820,코스닥,츌립앤사이언스,291650,주식등의대량보유상황보고서(일반),알티캐스트
20260820000362,20260820,코스닥,HEM파마,376270,주식등의대량보유상황보고서(일반),지요셉
20260820000359,20260820,코스닥,젬백스,082270,주식등의대량보유상황보고서(일반),젬앤컴퍼니
20260820000336,20260820,코스닥,우리엔터프라이즈,037400,주식등의대량보유상황보고서(일반),윤철주
20260820000332,20260820,코스닥,다산솔루에타,154040,주식등의대량보유상황보고서(일반),다산인베스트
20260820000322,20260820,코스닥,신진에스엠,138070,주식등의대량보유상황보고서(일반),김은식
20260820000312,20260820,코스피,인바이오젠,101140,주식등의대량보유상황보고서(일반),버킷스튜디오
20260820000311,20260820,코스닥,리메드,302550,주식등의대량보유상황보고서(일반),이근용
20260820000301,20260820,코스닥,SFA넥셀,222080,주식등의대량보유상황보고서(약식),삼성자산운용
20260820000300,20260820,코스닥,케이엔더블유,105330,주식등의대량보유상황보고서(일반),BGF에코머티리얼즈
20260820000298,20260820,코스닥,지아이이노베이션,358570,주식등의대량보유상황보고서(약식),삼성자산운용
20260820000297,20260820,코스피,한세실업,105630,주식등의대량보유상황보고서(일반),한세예스24홀딩스
20260820000295,20260820,코스피,한세예스24홀딩스,016450,주식등의대량보유상황보고서(일반),김동녕
20260820000292,20260820,코스피,한세엠케이,069640,주식등의대량보유상황보고서(일반),한세예스24홀딩스
20260820000283,20260820,코스닥,딜리셔스,483350,주식등의대량보유상황보고서(약식),NAVER
20260820000275,20260820,코스닥,지에프씨생명과학,388610,주식등의대량보유상황보고서(일반),강희철
20260820000260,20260820,코스닥,닷밀,464580,주식등의대량보유상황보고서(일반),정해운
20260820000228,20260820,코스닥,광진실업,026910,주식등의대량보유상황보고서(약식),헥사로틱홀딩스
20260820000211,20260820,코스닥,대성하이텍,129920,[기재정정]주식등의대량보유상황보고서(일반),최호형
20260820000206,20260820,코스피,한독,002390,주식등의대량보유상황보고서(일반),김영진
20260820000196,20260820,코스닥,아나패스,123860,주식등의대량보유상황보고서(일반),이경호
20260820000189,20260820,코스닥,대성하이텍,129920,[기재정정]주식등의대량보유상황보고서(일반),최호형
20260820000180,20260820,코스닥,오에스피,368970,주식등의대량보유상황보고서(약식),에스플러스온
20260820000136,20260820,코스피,HLB글로벌,003580,주식등의대량보유상황보고서(일반),진양곤
20260820000132,20260820,코스닥,HLB,028300,주식등의대량보유상황보고서(일반),진양곤
20260820000124,20260820,코스피,에스엠벡셀,010580,주식등의대량보유상황보고서(일반),에스엠하이플러스
20260820000119,20260820,코스피,케이씨씨,002380,주식등의대량보유상황보고서(일반),정몽진
20260820000111,20260820,코스피,에스디바이오센서,137310,주식등의대량보유상황보고서(일반),조영식
20260820000110,20260820,코스닥,모비데이즈,363260,주식등의대량보유상황보고서(일반),유범령
20260820000107,20260820,코스피,넥센타이어,002350,주식등의대량보유상황보고서(일반),넥센
20260820000080,20260820,코스닥,HLB펩,196300,주식등의대량보유상황보고서(일반),HLB제넥스
20260820000079,20260820,코스닥,대화제약,067080,주식등의대량보유상황보고서(일반),고준진
