rcept_no,rcept_dt,corp_code,corp_name,report_tp,repror,stkqy,stkqy_irds,stkrt,stkrt_irds,report_resn
20260904000001,2026-09-04,00141477,영흥,약식,이진식,"939,248","131,987",6,0.9,단순 추가취득
20260903000397,2026-09-04,00765897,한국피아이엠,일반,송준호,"2,818,421",0,46.40,0,보고자의 주식담보대출 내용변경
20260903000387,2026-09-03,00766106,엣지파운드리,일반,남용현,"1,119,512","-4,876,884",7.15,-0.47,"주식병합으로 인한 주식수 변동 및
전환사채 콜옵션 취득권리 상실에 따른 변경보고"
20260903000377,2026-09-03,00132868,우성머티리얼스,일반,더블유에스,"3,223,340","259,672",18.42,-0.27,특별관계자 추가 및 주식수 변동
20260903000371,2026-09-03,00140131,키다리스튜디오,약식,권정혁,"1,715,638","-592,241",4.63,-1.68,주식수 변동에 따른 보고
20260903000369,2026-09-03,00406037,CSA 코스믹,약식,브이핑크홀딩스,"746,666","-4,853,334",4.29,-0.96,"- 감자, 분할, 유상증자로 인한 발행회사의 발행주식 
   총수 및 보유주식 변경"
20260903000363,2026-09-03,00816544,토니모리,일반,배해동,"12,724,600","-25,400",52.90,-0.10,"보고자(배해동) 주식 증여
 특별관계자의 장내 주식 매도"
20260903000361,2026-09-03,01205709,HD현대,일반,정몽준,"29,323,325",0,37.12,0.00,- 보고자 및 특별관계자 보유주식 수 변동
20260903000348,2026-09-03,01524093,DL이앤씨,일반,DL,"9,600,250","-10,944",24.81,-0.03,특별관계자 및 보유주식수 변동
20260903000347,2026-09-03,00149804,디와이에이,일반,영일이,"4,231,710","-16,865,904",45.24,0.14,5대1 주식(액면)병합으로 인한 소유주식수 변동 보고
20260903000345,2026-09-03,00480367,SK오션플랜트,일반,송무석,"5,505,658",0,8.81,0,담보계약 변경(기존계약연장 및 신규계약체결)
20260903000344,2026-09-03,00106395,금호전기,일반,신주홀딩스,"3,691,613","-342,851",29.83,-2.77,특수관계자 보유 주식 장내매도
20260903000335,2026-09-03,00608699,탑코미디어,일반,엔키홀딩스,"34,223,914","-863,457",69.43,-1.75,교환청구권행사
20260903000303,2026-09-03,01043853,베노티앤알,일반,라미쿠스,"8,972,589",0,23.65,0,최대주주 변경을 수반하는 주식양수도계약 체결의 변경계약
20260903000298,2026-09-03,00309503,한국항공우주,약식,NH투자증권,"577,594","577,594",0.59,0.59,고객계정 신탁계약 거래 및 장내매수도 등
