rcept_no,rcept_dt,corp_name,stock_code,market,reporter,position,main_sh,direction,gift_shares,after_shares,float_total,gift_rate,counterparty,report_nm
20260814003214,20260814,키스트론,475430,코스닥,신재명,대표이사,사실상지배주주,수증(받음),749621,1065081,17848110,4.2,홍영철,임원ㆍ주요주주특정증권등소유상황보고서
20260814003161,20260814,키스트론,475430,코스닥,신가윤,-,사실상지배주주,수증(받음),92332,165232,17848110,0.5173,홍영철,임원ㆍ주요주주특정증권등소유상황보고서
20260814003115,20260814,키스트론,475430,코스닥,홍영철,-,10%이상주주,증여(줌),841953,1784811,17848110,4.7173,신재명,임원ㆍ주요주주특정증권등소유상황보고서
20260814002626,20260814,TYM,002900,코스피,김소원,대표이사,-,수증(받음),954085,2400063,41400000,2.3046,,임원ㆍ주요주주특정증권등소유상황보고서
20260814002539,20260814,유니크,011320,코스닥,안효정,이사,-,수증(받음),100000,197849,19320695,0.5176,,임원ㆍ주요주주특정증권등소유상황보고서
20260814002468,20260814,유니크,011320,코스닥,안영구,대표이사 회장,사실상지배주주,증여(줌),55,3918863,19320695,0.0003,,임원ㆍ주요주주특정증권등소유상황보고서
20260812000509,20260812,디케이락,105740,코스닥,노동형,부사장,-,수증(받음),700000,763288,10168513,6.884,노은식,임원ㆍ주요주주특정증권등소유상황보고서
20260812000476,20260812,디케이락,105740,코스닥,노은식,대표이사,사실상지배주주,증여(줌),1400000,1746900,10168513,13.768,노동형,임원ㆍ주요주주특정증권등소유상황보고서
20260812000473,20260812,에스디바이오센서,137310,코스피,박성진,상무,-,증여(줌),17000,198200,120749102,0.0141,,임원ㆍ주요주주특정증권등소유상황보고서
20260811000640,20260811,유나이티드,033270,코스피,강 덕 영,대표이사,사실상지배주주,증여(줌),800000,1684089,15910775,5.028,강원호,임원ㆍ주요주주특정증권등소유상황보고서
20260811000632,20260811,유나이티드,033270,코스피,강 원 호,대표이사,-,수증(받음),800000,2883400,15910775,5.028,강덕영,임원ㆍ주요주주특정증권등소유상황보고서
20260811000561,20260811,풀무원,017810,코스피,남승우,-,10%이상주주,증여(줌),100000,21235780,38120542,0.2623,서울대학교,임원ㆍ주요주주특정증권등소유상황보고서
20260811000054,20260811,피코그램,376180,코스닥,최석림,대표이사,-,증여(줌),3000000,4940000,18561038,16.1629,최솔지,임원ㆍ주요주주특정증권등소유상황보고서
20260810000670,20260810,LX홀딩스,383800,코스피,구형모,-,10%이상주주,수증(받음),6100000,15369748,77745975,7.8461,구본준,임원ㆍ주요주주특정증권등소유상황보고서
20260810000661,20260810,LX홀딩스,383800,코스피,구본준,대표이사,10%이상주주,증여(줌),6100000,9441261,77745975,7.8461,구형모,임원ㆍ주요주주특정증권등소유상황보고서
20260810000641,20260810,삼진제약,005500,코스피,조 규 형,부사장,-,수증(받음),135000,560000,13320000,1.0135,조의환,임원ㆍ주요주주특정증권등소유상황보고서
20260810000630,20260810,삼진제약,005500,코스피,조 규 석,대표이사 사장,-,수증(받음),135000,560000,13320000,1.0135,조의환,임원ㆍ주요주주특정증권등소유상황보고서
20260810000624,20260810,삼진제약,005500,코스피,조 의 환,-,사실상지배주주,증여(줌),270000,569322,13320000,2.027,조규석,임원ㆍ주요주주특정증권등소유상황보고서
20260810000203,20260810,유티아이,179900,코스닥,박덕영,대표이사,사실상지배주주,증여(줌),700000,2629760,19790412,3.5371,,임원ㆍ주요주주특정증권등소유상황보고서
20260807000429,20260807,케이엔에스,432470,코스닥,정봉진,대표이사,사실상지배주주,증여(줌),460000,4374792,8771556,5.2442,임정선,임원ㆍ주요주주특정증권등소유상황보고서
20260805000384,20260805,에치에프알,230240,코스닥,정종민,대표이사,10%이상주주,증여(줌),20000,3961653,13309000,0.1503,,임원ㆍ주요주주특정증권등소유상황보고서
20260805000377,20260805,에치에프알,230240,코스닥,송은범,센터장,-,수증(받음),20000,22923,13309000,0.1503,,임원ㆍ주요주주특정증권등소유상황보고서
