date,매출,내수,수출
2019-03-31,17542.0,,
2019-06-30,18246.0,,
2019-09-30,24118.0,,
2019-12-31,24561.0,,
2020-03-31,25052.0,,
2020-06-30,22881.0,,
2020-09-30,20279.0,,
2020-12-31,19162.0,,
2021-03-31,24745.0,,
2021-06-30,22541.0,,
2021-09-30,23968.0,,
2021-12-31,27589.0,,
2022-03-31,28874.0,18927.0,9368.0
2022-06-30,30820.0,18334.0,12048.0
2022-09-30,31576.0,21807.0,9551.0
2022-12-31,32237.0,21974.0,10239.0
2023-03-31,35610.0,20713.0,12944.0
2023-06-30,35763.0,22005.0,12521.0
2023-09-30,38543.0,20278.0,17116.0
2023-12-31,40404.0,18025.0,19422.0
2024-03-31,41771.0,20077.0,18960.0
2024-06-30,42442.0,22269.0,18398.0
2024-09-30,46562.0,18545.0,22779.0
2024-12-31,45239.0,22631.0,22951.0
2025-03-31,57862.0,21993.0,32860.0
2025-06-30,60672.0,27940.0,31097.0
2025-09-30,61548.0,27319.0,33328.0
2025-12-31,63609.0,25992.0,34281.0
2026-03-31,61692.0,25168.0,35063.0
2026-06-30,66415.0,28865.0,35976.0
